# energy, Re[S], Im[S], Im[G], Re[Smpa], Im[Smpa], Im[Gmpa]
-4.839999999999999858e+01 -3.207904999999999784e+00 2.091775000000000162e+00 1.021999999999999905e-03 -3.249973102054477092e+00 2.080574435708324454e+00 1.018464717513647630e-03
-4.829999999999999716e+01 -3.208514000000000088e+00 2.096191999999999833e+00 1.028999999999999967e-03 -3.251565627739515296e+00 2.084836181632277796e+00 1.025140384365109741e-03
-4.820000000000000284e+01 -3.209010999999999836e+00 2.100851000000000024e+00 1.036000000000000029e-03 -3.253172842319981939e+00 2.089082191266522948e+00 1.031858759045835164e-03
-4.810000000000000142e+01 -3.208988000000000174e+00 2.104983999999999966e+00 1.041999999999999958e-03 -3.254795628644509442e+00 2.093312164066255310e+00 1.038620116723624771e-03
-4.800000000000000000e+01 -3.209178000000000086e+00 2.108223999999999876e+00 1.049000000000000019e-03 -3.256434894049600182e+00 2.097525807056594083e+00 1.045424740590995306e-03
-4.789999999999999858e+01 -3.210390999999999995e+00 2.111107000000000067e+00 1.054999999999999948e-03 -3.258091570775044410e+00 2.101722835406589329e+00 1.052272922353471741e-03
-4.779999999999999716e+01 -3.211951000000000001e+00 2.114231999999999889e+00 1.061000000000000094e-03 -3.259766616378784398e+00 2.105902973024053271e+00 1.059164962741036007e-03
-4.770000000000000284e+01 -3.214261000000000035e+00 2.117061000000000082e+00 1.067000000000000023e-03 -3.261461014150769611e+00 2.110065953171765152e+00 1.066101172043623342e-03
-4.760000000000000142e+01 -3.217273000000000049e+00 2.121268000000000153e+00 1.074000000000000085e-03 -3.263175773525402334e+00 2.114211519105503090e+00 1.073081870671559624e-03
-4.750000000000000000e+01 -3.219123000000000179e+00 2.126050000000000217e+00 1.082000000000000062e-03 -3.264911930492084391e+00 2.118339424734467791e+00 1.080107389741887056e-03
-4.739999999999999858e+01 -3.220387000000000111e+00 2.130211000000000077e+00 1.088999999999999907e-03 -3.266670548003392405e+00 2.122449435304595955e+00 1.087178071691545771e-03
-4.729999999999999716e+01 -3.221359999999999779e+00 2.133970999999999840e+00 1.095999999999999969e-03 -3.268452716380375822e+00 2.126541328105265638e+00 1.094294270918386028e-03
-4.720000000000000284e+01 -3.222383000000000219e+00 2.136330000000000062e+00 1.101999999999999898e-03 -3.270259553714441658e+00 2.130614893199962001e+00 1.101456354451064859e-03
-4.710000000000000142e+01 -3.224922999999999984e+00 2.138011000000000106e+00 1.108000000000000044e-03 -3.272092206265280634e+00 2.134669934181377737e+00 1.108664702648856941e-03
-4.700000000000000000e+01 -3.228813000000000155e+00 2.140397000000000105e+00 1.115000000000000106e-03 -3.273951848854235180e+00 2.138706268951529044e+00 1.115919709932487302e-03
