# energy, Re[S], Im[S], Im[G], Re[Smpa], Im[Smpa], Im[Gmpa]
-9.820000000000000284e+01 -1.182058999999999926e+01 2.093542999999999932e+00 2.804179999999999976e-04 -1.191726740936156403e+01 2.199007825403720418e+00 2.951868408838484079e-04
-9.809999999999999432e+01 -1.182757999999999932e+01 2.098602000000000078e+00 2.817920000000000017e-04 -1.191581986432497331e+01 2.200593349143182387e+00 2.960749293005457070e-04
-9.799998999999999683e+01 -1.183339999999999925e+01 2.104296999999999862e+00 2.832499999999999732e-04 -1.191452351056534376e+01 2.202084630037818958e+00 2.969547282760907360e-04
-9.790000000000000568e+01 -1.183844999999999992e+01 2.110021000000000146e+00 2.847130000000000234e-04 -1.191338531674304946e+01 2.203486769730242933e+00 2.978267091825847861e-04
-9.779999999999999716e+01 -1.184299000000000035e+01 2.115679999999999783e+00 2.861699999999999791e-04 -1.191241132547876802e+01 2.204806173858836260e+00 2.986919335329751152e-04
-9.770000000000000284e+01 -1.184697000000000067e+01 2.121296000000000070e+00 2.876239999999999960e-04 -1.191160783994154038e+01 2.206049100696021448e+00 2.995511769655273614e-04
-9.759999999999999432e+01 -1.184991999999999912e+01 2.126558000000000170e+00 2.890290000000000003e-04 -1.191098078278854899e+01 2.207222375802079917e+00 3.004053665144703115e-04
-9.749998999999999683e+01 -1.185223000000000049e+01 2.129294999999999938e+00 2.900919999999999866e-04 -1.191053575101755868e+01 2.208333344781268526e+00 3.012555768985964951e-04
-9.740000000000000568e+01 -1.185824000000000034e+01 2.131231999999999793e+00 2.910750000000000143e-04 -1.191027816064751832e+01 2.209389318611208797e+00 3.021026049447559660e-04
-9.729999999999999716e+01 -1.186436999999999919e+01 2.135836999999999986e+00 2.924280000000000130e-04 -1.191021286378948396e+01 2.210398639503538210e+00 3.029478162857504446e-04
-9.720000000000000284e+01 -1.186936000000000035e+01 2.140604999999999869e+00 2.938010000000000014e-04 -1.191034447092738979e+01 2.211369579739763225e+00 3.037922947947211262e-04
-9.709999999999999432e+01 -1.187400000000000055e+01 2.144892000000000021e+00 2.951119999999999893e-04 -1.191067714612212214e+01 2.212310861100770243e+00 3.046372642935697402e-04
-9.699998999999999683e+01 -1.187865000000000038e+01 2.148690000000000211e+00 2.963600000000000153e-04 -1.191121467903881204e+01 2.213231613765599182e+00 3.054840856255348924e-04
-9.690000000000000568e+01 -1.188345999999999947e+01 2.152067999999999870e+00 2.975580000000000130e-04 -1.191196013884644422e+01 2.214140892893217583e+00 3.063338293684552565e-04
-9.679999999999999716e+01 -1.188840000000000074e+01 2.154930999999999930e+00 2.986889999999999858e-04 -1.191291649156602617e+01 2.215048563025604267e+00 3.071881202806716130e-04
-9.670000000000000284e+01 -1.189353999999999978e+01 2.156957999999999931e+00 2.997109999999999770e-04 -1.191408593759826928e+01 2.215964353445075474e+00 3.080482852950197073e-04
-9.659999999999999432e+01 -1.189921999999999969e+01 2.157658000000000076e+00 3.005560000000000002e-04 -1.191547021316719857e+01 2.216898281710617535e+00 3.089157732861026783e-04
-9.650000000000000000e+01 -1.190626999999999924e+01 2.156333000000000055e+00 3.011320000000000164e-04 -1.191707050977960058e+01 2.217860527373302748e+00 3.097920657153760979e-04
