# energy, Re[S], Im[S], Im[G], Re[Smpa], Im[Smpa], Im[Gmpa]
-4.509999400000000236e+01 1.976380000000000026e+00 1.376238000000000072e+00 6.204640000000000415e-04 1.510079300911721933e+00 1.515661681114513826e+00 6.969212593752029334e-04
-4.500000400000000411e+01 1.948974999999999902e+00 1.374314000000000036e+00 6.229620000000000166e-04 1.505178001887536254e+00 1.524647736638364393e+00 7.042069036064072278e-04
-4.489999399999999952e+01 1.923068000000000000e+00 1.372967000000000048e+00 6.257009999999999916e-04 1.500269935046319780e+00 1.533709645885948492e+00 7.115870129451179211e-04
-4.480000400000000127e+01 1.896234999999999893e+00 1.372743999999999964e+00 6.290000000000000018e-04 1.495357448930670241e+00 1.542844679255525708e+00 7.190600752518268952e-04
-4.470000399999999985e+01 1.870000000000000107e+00 1.374233000000000038e+00 6.330959999999999843e-04 1.490439469300834707e+00 1.552056473175084772e+00 7.266297832226139468e-04
-4.459999400000000236e+01 1.843814000000000064e+00 1.376694000000000084e+00 6.376759999999999980e-04 1.485516407272826855e+00 1.561345969612539797e+00 7.342976560690516992e-04
-4.450000400000000411e+01 1.817585999999999924e+00 1.380292000000000074e+00 6.428259999999999877e-04 1.480590166911932126e+00 1.570711301737679921e+00 7.420628949773649344e-04
-4.439999399999999952e+01 1.791825999999999919e+00 1.383621999999999908e+00 6.478849999999999540e-04 1.475659218741086409e+00 1.580157159936289357e+00 7.499301489440555460e-04
-4.430000400000000127e+01 1.762971999999999984e+00 1.387796999999999947e+00 6.534740000000000253e-04 1.470725990973741570e+00 1.589680722399274826e+00 7.578978403111640743e-04
-4.420000399999999985e+01 1.732010999999999967e+00 1.393699000000000021e+00 6.599919999999999789e-04 1.465789475425424149e+00 1.599285803433961206e+00 7.659699405864564027e-04
-4.410000400000000553e+01 1.697057000000000038e+00 1.403512000000000093e+00 6.685490000000000529e-04 1.460850652603091548e+00 1.608972436308737430e+00 7.741472820568748043e-04
-4.400000400000000411e+01 1.659896000000000038e+00 1.422759000000000107e+00 6.817729999999999927e-04 1.455910026087082088e+00 1.618741615652755428e+00 7.824315168582532355e-04
-4.389999399999999952e+01 1.629172000000000065e+00 1.451704000000000105e+00 6.996119999999999553e-04 1.450967621988397349e+00 1.628595338606509513e+00 7.908251704880167078e-04
-4.380000400000000127e+01 1.607266000000000084e+00 1.483878999999999948e+00 7.189260000000000485e-04 1.446025460627565540e+00 1.638531657512985129e+00 7.993274184422297177e-04
-4.369999400000000378e+01 1.594009999999999927e+00 1.514812000000000047e+00 7.375500000000000111e-04 1.441082120391866894e+00 1.648555581494429711e+00 8.079434015321082215e-04
-4.360000400000000553e+01 1.583855000000000013e+00 1.540165999999999924e+00 7.535229999999999749e-04 1.436140152005697557e+00 1.658664148673739014e+00 8.166714428342778612e-04
-4.350000400000000411e+01 1.571355000000000057e+00 1.566035999999999984e+00 7.699749999999999997e-04 1.431198665128042169e+00 1.668861439784788958e+00 8.255159437286351421e-04
-4.339999399999999952e+01 1.562575000000000047e+00 1.596819999999999906e+00 7.888720000000000324e-04 1.426258272002970395e+00 1.679148555802854714e+00 8.344787700231821957e-04
-4.330000400000000127e+01 1.562100000000000044e+00 1.628519999999999968e+00 8.080939999999999781e-04 1.421321086099265996e+00 1.689523485660884283e+00 8.435590776734582874e-04
-4.319999400000000378e+01 1.571172999999999931e+00 1.656298000000000048e+00 8.251779999999999792e-04 1.416385784757720812e+00 1.699991481865473997e+00 8.527623937246653569e-04
-4.309999400000000236e+01 1.583803000000000072e+00 1.672126000000000001e+00 8.362979999999999676e-04 1.411454522336383910e+00 1.710550533886173064e+00 8.620879025037003415e-04
