# energy, Re[S], Im[S], Im[G], Re[Smpa], Im[Smpa], Im[Gmpa]
-9.370000600000000190e+01 9.980430000000000135e-01 2.033250000000000057e-01 2.267290000000000107e-05 1.076085438604522659e+00 1.637862529195405425e+00 1.822846829721442305e-04
-9.359999600000000441e+01 9.952530000000000543e-01 2.043929999999999914e-01 2.284150000000000145e-05 1.082610115678146023e+00 1.631844600248586463e+00 1.819740278077051703e-04
-9.349999600000001010e+01 9.922109999999999541e-01 2.075180000000000080e-01 2.324140000000000079e-05 1.089080878656165652e+00 1.625760595043564294e+00 1.816545753869028160e-04
-9.339999600000000157e+01 9.926709999999999701e-01 2.109429999999999916e-01 2.367479999999999905e-05 1.095497392234810796e+00 1.619610563452952512e+00 1.813263189979016530e-04
-9.329999600000000726e+01 9.930590000000000250e-01 2.108389999999999986e-01 2.371319999999999854e-05 1.101858676301933793e+00 1.613395172749290785e+00 1.809892848372724188e-04
-9.320000600000000190e+01 9.916260000000000074e-01 2.112080000000000068e-01 2.380580000000000169e-05 1.108163133751820295e+00 1.607115740244561053e+00 1.806435364022124679e-04
-9.309999600000000441e+01 9.905950000000000033e-01 2.124709999999999932e-01 2.399969999999999995e-05 1.114411689264110050e+00 1.600771076996721387e+00 1.802889994131038080e-04
-9.299999600000001010e+01 9.905629999999999713e-01 2.137560000000000016e-01 2.419620000000000053e-05 1.120601513075581313e+00 1.594363799749203947e+00 1.799258119560774832e-04
-9.289999600000000157e+01 9.917150000000000132e-01 2.140080000000000038e-01 2.427569999999999866e-05 1.126732298082741224e+00 1.587894018530687790e+00 1.795539743290057346e-04
-9.279999600000000726e+01 9.924100000000000144e-01 2.113029999999999908e-01 2.401969999999999976e-05 1.132803121936448720e+00 1.581362492488131100e+00 1.791735241075000757e-04
-9.269999599999999873e+01 9.891039999999999832e-01 2.084759999999999946e-01 2.375069999999999945e-05 1.138813075131208219e+00 1.574769998409515148e+00 1.787845011209716244e-04
-9.259999600000000441e+01 9.851029999999999509e-01 2.086619999999999864e-01 2.382479999999999930e-05 1.144761261421033183e+00 1.568117330451069380e+00 1.783869474420735762e-04
-9.249999600000001010e+01 9.822610000000000507e-01 2.100499999999999867e-01 2.403600000000000162e-05 1.150646798228334156e+00 1.561405299852783424e+00 1.779809073747718362e-04
-9.239999600000000157e+01 9.802899999999999947e-01 2.114989999999999926e-01 2.425470000000000005e-05 1.156468817045419595e+00 1.554634734642425853e+00 1.775664274410501794e-04
-9.230000600000001043e+01 9.787040000000000184e-01 2.127159999999999884e-01 2.444749999999999929e-05 1.162225891309951464e+00 1.547807165009498886e+00 1.771435990712053163e-04
-9.219999599999999873e+01 9.770999999999999686e-01 2.136679999999999968e-01 2.461040000000000073e-05 1.167918899382105691e+00 1.540921394580967663e+00 1.767123450631314817e-04
-9.209999600000000441e+01 9.748860000000000303e-01 2.144490000000000007e-01 2.475469999999999865e-05 1.173545299738681935e+00 1.533980356904171671e+00 1.762728466144317400e-04
-9.199999600000001010e+01 9.715930000000000399e-01 2.166399999999999992e-01 2.506320000000000086e-05 1.179104856524488598e+00 1.526984258295275731e+00 1.758251162543305213e-04
-9.189999600000000157e+01 9.698339999999999739e-01 2.209959999999999980e-01 2.562319999999999889e-05 1.184596777319974148e+00 1.519934005895440476e+00 1.753692113484402214e-04
-9.180000600000001043e+01 9.702039999999999553e-01 2.251340000000000008e-01 2.615900000000000145e-05 1.190019747104041459e+00 1.512831234608534414e+00 1.749052381782528569e-04
-9.169999599999999873e+01 9.715150000000000174e-01 2.284559999999999924e-01 2.660159999999999955e-05 1.195374623119652702e+00 1.505674741838390451e+00 1.744331178902484413e-04
-9.159999600000000441e+01 9.732140000000000235e-01 2.313699999999999923e-01 2.699810000000000160e-05 1.200659046152001697e+00 1.498467616896733245e+00 1.739530545288937901e-04
-9.149999600000001010e+01 9.755390000000000450e-01 2.345270000000000132e-01 2.742440000000000123e-05 1.205872829899327758e+00 1.491210110828777857e+00 1.734650669548910471e-04
-9.139999600000000157e+01 9.796580000000000288e-01 2.381159999999999943e-01 2.790180000000000110e-05 1.211015266755707254e+00 1.483903200910146492e+00 1.729692228473587610e-04
-9.130000600000001043e+01 9.876289999999999791e-01 2.408919999999999950e-01 2.828350000000000119e-05 1.216085163597760310e+00 1.476548615182980084e+00 1.724656426208054827e-04
-9.119999599999999873e+01 1.000272000000000050e+00 2.373180000000000012e-01 2.791669999999999989e-05 1.221083359151088565e+00 1.469145142445747121e+00 1.719542456464313786e-04
-9.109999600000000441e+01 1.008005999999999958e+00 2.221609999999999974e-01 2.618599999999999967e-05 1.226007690104870873e+00 1.461696011027933118e+00 1.714352577227693962e-04
-9.099999600000001010e+01 1.002423000000000064e+00 2.068740000000000023e-01 2.444030000000000044e-05 1.230858025535191747e+00 1.454201509167548645e+00 1.709087035445925630e-04
